Timestamp,World Population,Births Today,Deaths Today,Net Growth Today,Births This Year,Deaths This Year,Net Growth This Year
04-09-2025 13:44,"8,24,45,23,249","2,07,588","97,817","1,09,771","8,94,46,313","4,21,47,522","4,72,98,791"
04-09-2025 13:49,"8,24,45,23,922","2,08,860","98,416","1,10,445","8,94,47,585","4,21,48,121","4,72,99,464"
04-09-2025 13:54,"8,24,45,24,627","2,10,193","99,044","1,11,150","8,94,48,918","4,21,48,749","4,73,00,169"
04-09-2025 13:59,"8,24,45,25,293","2,11,453","99,638","1,11,815","8,94,50,177","4,21,49,343","4,73,00,835"
04-09-2025 14:04,"8,24,45,25,969","2,12,730","1,00,239","1,12,491","8,94,51,454","4,21,49,944","4,73,01,510"
04-09-2025 14:36,"8,24,45,30,176","2,20,686","1,03,988","1,16,698","8,94,59,410","4,21,53,693","4,73,05,717"
04-09-2025 14:39,"8,24,45,30,623","2,21,534","1,04,388","1,17,146","8,94,60,258","4,21,54,093","4,73,06,165"
04-09-2025 14:44,"8,24,45,31,295","2,22,804","1,04,987","1,17,818","8,94,61,529","4,21,54,692","4,73,06,837"
04-09-2025 14:49,"8,24,45,31,956","2,24,052","1,05,574","1,18,478","8,94,62,776","4,21,55,279","4,73,07,497"
04-09-2025 14:54,"8,24,45,32,622","2,25,312","1,06,168","1,19,144","8,94,64,036","4,21,55,873","4,73,08,163"
04-09-2025 14:59,"8,24,45,33,288","2,26,571","1,06,761","1,19,810","8,94,65,295","4,21,56,466","4,73,08,829"
04-09-2025 15:04,"8,24,45,33,953","2,27,831","1,07,355","1,20,476","8,94,66,555","4,21,57,060","4,73,09,495"
04-09-2025 15:09,"8,24,45,34,620","2,29,090","1,07,948","1,21,142","8,94,67,814","4,21,57,653","4,73,10,161"
04-09-2025 15:14,"8,24,45,35,286","2,30,350","1,08,542","1,21,808","8,94,69,074","4,21,58,247","4,73,10,828"
04-09-2025 15:19,"8,24,45,35,951","2,31,607","1,09,134","1,22,473","8,94,70,332","4,21,58,840","4,73,11,492"
04-09-2025 15:24,"8,24,45,36,619","2,32,870","1,09,729","1,23,141","8,94,71,594","4,21,59,434","4,73,12,160"
04-09-2025 15:29,"8,24,45,37,296","2,34,151","1,10,333","1,23,818","8,94,72,875","4,21,60,038","4,73,12,837"
04-09-2025 15:34,"8,24,45,37,950","2,35,389","1,10,917","1,24,473","8,94,74,114","4,21,60,622","4,73,13,492"
04-09-2025 15:39,"8,24,45,38,615","2,36,647","1,11,509","1,25,138","8,94,75,371","4,21,61,214","4,73,14,157"
04-09-2025 15:44,"8,24,45,39,283","2,37,908","1,12,104","1,25,804","8,94,76,632","4,21,61,809","4,73,14,824"
04-09-2025 15:49,"8,24,45,39,948","2,39,167","1,12,697","1,26,470","8,94,77,891","4,21,62,402","4,73,15,490"
04-09-2025 15:54,"8,24,45,40,614","2,40,426","1,13,290","1,27,136","8,94,79,150","4,21,62,995","4,73,16,155"
04-09-2025 15:59,"8,24,45,41,281","2,41,688","1,13,884","1,27,804","8,94,80,412","4,21,63,589","4,73,16,823"
04-09-2025 16:04,"8,24,45,41,946","2,42,945","1,14,477","1,28,468","8,94,81,669","4,21,64,182","4,73,17,487"
04-09-2025 16:09,"8,24,45,42,612","2,44,205","1,15,070","1,29,135","8,94,82,929","4,21,64,775","4,73,18,153"
04-09-2025 16:14,"8,24,45,43,278","2,45,463","1,15,663","1,29,800","8,94,84,188","4,21,65,369","4,73,18,819"
04-09-2025 21:22,"8,24,45,84,352","3,23,138","1,52,265","1,70,874","8,95,61,864","4,22,01,970","4,73,59,894"
04-09-2025 21:25,"8,24,45,84,699","3,23,795","1,52,574","1,71,222","8,95,62,521","4,22,02,280","4,73,60,242"
04-09-2025 21:41,"8,24,45,86,896","3,27,951","1,54,532","1,73,419","8,95,66,675","4,22,04,237","4,73,62,438"
04-09-2025 21:56,"8,24,45,88,817","3,31,582","1,56,243","1,75,340","8,95,70,307","4,22,05,949","4,73,64,359"
04-09-2025 21:56,"8,24,45,88,850","3,31,646","1,56,273","1,75,373","8,95,70,371","4,22,05,979","4,73,64,393"
04-09-2025 21:59,"8,24,45,89,265","3,32,430","1,56,643","1,75,788","8,95,71,155","4,22,06,348","4,73,64,807"
04-09-2025 22:04,"8,24,45,89,900","3,33,633","1,57,210","1,76,424","8,95,72,358","4,22,06,915","4,73,65,443"
04-09-2025 22:09,"8,24,45,90,566","3,34,892","1,57,803","1,77,089","8,95,73,616","4,22,07,508","4,73,66,108"
05-09-2025 13:27,"8,24,47,12,913","2,03,492","95,887","1,07,606","8,98,04,976","4,23,16,526","4,74,88,450"
05-09-2025 13:29,"8,24,47,13,147","2,03,937","96,096","1,07,842","8,98,05,421","4,23,16,736","4,74,88,686"
05-09-2025 13:32,"8,24,47,13,584","2,04,762","96,485","1,08,277","8,98,06,246","4,23,17,124","4,74,89,122"
05-09-2025 13:37,"8,24,47,14,188","2,05,906","97,024","1,08,882","8,98,07,389","4,23,17,663","4,74,89,726"
05-09-2025 13:37,"8,24,47,14,225","2,05,973","97,056","1,08,918","8,98,07,457","4,23,17,695","4,74,89,762"
05-09-2025 13:44,"8,24,47,15,151","2,07,725","97,881","1,09,844","8,98,09,209","4,23,18,521","4,74,90,689"
05-09-2025 13:52,"8,24,47,16,187","2,09,684","98,804","1,10,880","8,98,11,168","4,23,19,444","4,74,91,725"
05-09-2025 14:10,"8,24,47,18,594","2,14,237","1,00,950","1,13,288","8,98,15,721","4,23,21,589","4,74,94,133"
05-09-2025 14:53,"8,24,47,24,397","2,25,210","1,06,120","1,19,091","8,98,26,694","4,23,26,760","4,74,99,935"
05-09-2025 15:00,"8,24,47,25,289","2,26,896","1,06,915","1,19,982","8,98,28,380","4,23,27,554","4,75,00,827"
05-09-2025 15:02,"8,24,47,25,562","2,27,412","1,07,158","1,20,255","8,98,28,896","4,23,27,797","4,75,01,099"
05-09-2025 15:10,"8,24,47,26,618","2,29,411","1,08,100","1,21,312","8,98,30,895","4,23,28,739","4,75,02,156"
05-09-2025 18:12,"8,24,47,50,879","2,75,288","1,29,717","1,45,572","8,98,76,772","4,23,50,356","4,75,26,416"
05-09-2025 19:00,"8,24,47,57,224","2,87,282","1,35,369","1,51,914","8,98,88,767","4,23,56,009","4,75,32,758"
05-09-2025 20:54,"8,24,47,72,432","3,16,049","1,48,924","1,67,125","8,99,17,532","4,23,69,563","4,75,47,970"
05-09-2025 20:56,"8,24,47,72,742","3,16,637","1,49,201","1,67,436","8,99,18,121","4,23,69,841","4,75,48,281"
05-09-2025 21:25,"8,24,47,76,521","3,23,781","1,52,567","1,71,215","8,99,25,265","4,23,73,207","4,75,52,059"
05-09-2025 22:09,"8,24,47,82,346","3,34,798","1,57,758","1,77,039","8,99,36,282","4,23,78,398","4,75,57,885"
05-09-2025 22:26,"8,24,47,84,716","3,39,278","1,59,870","1,79,409","8,99,40,762","4,23,80,509","4,75,60,253"
05-09-2025 23:19,"8,24,47,91,751","3,52,582","1,66,139","1,86,444","8,99,54,066","4,23,86,778","4,75,67,289"
05-09-2025 23:48,"8,24,47,95,637","3,59,925","1,69,599","1,90,327","8,99,61,410","4,23,90,238","4,75,71,172"
06-09-2025 16:59,"8,24,49,32,993","2,56,903","1,21,054","1,35,850","9,02,21,146","4,25,12,627","4,77,08,520"
06-09-2025 17:01,"8,24,49,33,161","2,57,231","1,21,209","1,36,023","9,02,21,474","4,25,12,781","4,77,08,693"
06-09-2025 18:01,"8,24,49,41,142","2,72,323","1,28,320","1,44,003","9,02,36,565","4,25,19,892","4,77,16,673"
06-09-2025 18:01,"8,24,49,41,187","2,72,418","1,28,365","1,44,053","9,02,36,661","4,25,19,937","4,77,16,723"
06-09-2025 19:14,"8,24,49,50,879","2,90,745","1,37,001","1,53,744","9,02,54,988","4,25,28,573","4,77,26,414"
06-09-2025 19:14,"8,24,49,50,950","2,90,876","1,37,062","1,53,815","9,02,55,119","4,25,28,635","4,77,26,484"
06-09-2025 19:14,"8,24,49,50,986","2,90,942","1,37,094","1,53,849","9,02,55,185","4,25,28,666","4,77,26,519"
06-09-2025 21:04,"8,24,49,65,564","3,18,511","1,50,084","1,68,427","9,02,82,753","4,25,41,656","4,77,41,096"
06-09-2025 21:08,"8,24,49,66,058","3,19,437","1,50,520","1,68,917","9,02,83,679","4,25,42,093","4,77,41,586"
06-09-2025 21:30,"8,24,49,69,000","3,25,012","1,53,147","1,71,865","9,02,89,255","4,25,44,720","4,77,44,534"
07-09-2025 09:59,"8,24,50,68,770","1,50,932","71,120","79,813","9,04,77,934","4,26,33,627","4,78,44,308"
07-09-2025 10:06,"8,24,50,69,732","1,52,745","71,975","80,771","9,04,79,748","4,26,34,481","4,78,45,267"
07-09-2025 13:07,"8,24,50,93,882","1,98,411","93,493","1,04,920","9,05,25,414","4,26,55,999","4,78,69,415"
07-09-2025 13:09,"8,24,50,94,085","1,98,804","93,678","1,05,127","9,05,25,806","4,26,56,184","4,78,69,623"
07-09-2025 14:07,"8,24,51,01,880","2,13,505","1,00,605","1,12,900","9,05,40,507","4,26,63,111","4,78,77,396"
07-09-2025 15:29,"8,24,51,12,728","2,34,051","1,10,286","1,23,766","9,05,61,053","4,26,72,793","4,78,88,261"
07-09-2025 17:18,"8,24,51,27,413","2,61,729","1,23,328","1,38,401","9,05,88,731","4,26,85,834","4,79,02,897"
07-09-2025 18:38,"8,24,51,37,996","2,81,836","1,32,802","1,49,033","9,06,08,838","4,26,95,309","4,79,13,529"
07-09-2025 19:00,"8,24,51,40,936","2,87,394","1,35,422","1,51,973","9,06,14,396","4,26,97,928","4,79,16,469"
07-09-2025 20:01,"8,24,51,49,069","3,02,781","1,42,672","1,60,110","9,06,29,783","4,27,05,179","4,79,24,605"
08-09-2025 13:38,"8,24,52,89,844","2,06,202","97,164","1,09,039","9,08,95,963","4,28,30,604","4,80,65,360"
08-09-2025 21:22,"8,24,53,51,698","3,23,204","1,52,295","1,70,909","9,10,12,965","4,28,85,736","4,81,27,230"
09-09-2025 14:24,"8,24,54,87,800","2,17,836","1,02,645","1,15,191","9,12,70,356","4,30,07,020","4,82,63,336"
15-09-2025 19:15,"8,24,66,77,534","2,91,192","1,37,211","1,53,981","9,35,20,266","4,40,67,187","4,94,53,078"
24-09-2025 17:05,"8,24,83,86,553","2,58,230","1,21,679","1,36,551","9,67,52,136","4,55,90,060","5,11,62,076"
27-09-2025 18:45,"8,24,89,75,454","2,83,645","1,33,655","1,49,991","9,78,65,828","4,61,14,837","5,17,50,991"
27-09-2025 22:00,"8,24,90,01,342","3,32,597","1,56,721","1,75,876","9,79,14,779","4,61,37,902","5,17,76,876"
28-09-2025 15:15,"8,24,91,39,262","2,30,669","1,08,692","1,21,977","9,81,75,610","4,62,60,807","5,19,14,803"
28-09-2025 15:29,"8,24,91,41,167","2,34,271","1,10,389","1,23,882","9,81,79,212","4,62,62,505","5,19,16,707"
28-09-2025 16:30,"8,24,91,49,167","2,49,401","1,17,519","1,31,882","9,81,94,342","4,62,69,634","5,19,24,709"
28-09-2025 19:15,"8,24,91,71,195","2,91,057","1,37,148","1,53,909","9,82,35,999","4,62,89,263","5,19,46,737"
2025-09-29 18:40:05,"8,249,358,320","282,170","132,960","149,210","98,589,870","46,456,009","52,133,861"
2025-09-30 23:04:27,"8,249,585,368","348,768","164,341","184,427","99,019,228","46,658,324","52,360,903"
2025-10-01 00:29:29,"8,249,596,694","7,428","3,500","3,928","99,040,646","46,668,416","52,372,230"
2025-10-01 20:29:33,"8,249,756,558","309,746","145,954","163,792","99,342,964","46,810,870","52,532,093"
2025-10-01 21:29:29,"8,249,764,539","324,842","153,067","171,775","99,358,060","46,817,983","52,540,076"
2025-10-02 17:07:27,"8,249,921,460","258,835","121,964","136,871","99,654,813","46,957,815","52,696,999"
2025-10-02 23:29:47,"8,249,972,391","355,148","167,347","187,800","99,751,126","47,003,198","52,747,928"
2025-10-03 15:21:13,"8,250,099,131","232,073","109,354","122,719","99,990,809","47,116,138","52,874,672"
2025-10-03 15:30:19,"8,250,100,342","234,364","110,433","123,930","99,993,100","47,117,218","52,875,883"
2025-10-03 18:22:09,"8,250,123,235","277,653","130,832","146,822","100,036,390","47,137,616","52,898,774"
2025-10-03 18:29:30,"8,250,124,211","279,502","131,703","147,799","100,038,239","47,138,487","52,899,752"
2025-10-03 19:58:52,"8,250,136,117","302,017","142,312","159,706","100,060,754","47,149,096","52,911,658"
2025-10-04 18:55:36,"8,250,319,523","286,080","134,802","151,278","100,407,575","47,312,520","53,095,055"
2025-10-04 19:56:43,"8,250,327,663","301,475","142,057","159,418","100,422,970","47,319,775","53,103,196"
2025-10-04 20:29:24,"8,250,332,016","309,707","145,935","163,772","100,431,202","47,323,654","53,107,548"
2025-10-06 22:51:58,"8,250,734,656","345,623","162,859","182,765","101,192,637","47,682,445","53,510,192"
2025-10-08 17:41:45,"8,251,076,982","267,475","126,036","141,439","101,840,006","47,987,489","53,852,518"
2025-10-08 18:44:02,"8,251,085,278","283,165","133,429","149,736","101,855,696","47,994,882","53,860,815"
2025-10-08 19:29:23,"8,251,091,319","294,589","138,812","155,777","101,867,120","48,000,265","53,866,855"
2025-10-08 20:29:29,"8,251,099,326","309,729","145,946","163,784","101,882,261","48,007,400","53,874,862"
2025-10-09 12:45:11,"8,251,229,299","192,763","90,831","101,932","102,128,054","48,123,218","54,004,837"
2025-10-09 14:15:37,"8,251,241,347","215,547","101,567","113,981","102,150,838","48,133,954","54,016,885"
2025-10-09 23:29:38,"8,251,315,149","355,112","167,331","187,782","102,290,403","48,199,718","54,090,686"
2025-10-11 18:23:20,"8,251,657,990","277,948","130,971","146,978","102,938,757","48,505,225","54,433,532"
2025-10-11 19:29:32,"8,251,666,810","294,628","138,830","155,798","102,955,436","48,513,084","54,442,352"
2025-10-11 20:29:32,"8,251,674,805","309,743","145,953","163,791","102,970,552","48,520,207","54,450,346"
2025-10-14 07:29:40,"8,252,146,396","113,279","53,378","59,901","103,862,365","48,940,433","54,921,933"
2025-10-14 08:29:28,"8,252,154,363","128,345","60,477","67,869","103,877,431","48,947,532","54,929,899"
2025-10-14 12:20:03,"8,252,185,077","186,430","87,847","98,584","103,935,516","48,974,902","54,960,614"
2025-10-14 12:58:54,"8,252,190,255","196,220","92,460","103,761","103,945,306","48,979,516","54,965,791"
2025-10-14 13:29:33,"8,252,194,337","203,940","96,097","107,842","103,953,026","48,983,153","54,969,873"
2025-10-14 14:29:56,"8,252,202,446","219,151","103,265","115,886","103,968,236","48,990,320","54,977,917"
2025-10-15 23:49:22,"8,252,468,730","360,084","169,673","190,411","104,471,929","49,227,663","55,244,266"
2025-10-16 00:29:37,"8,252,474,090","7,464","3,517","3,947","104,482,069","49,232,441","55,249,628"
2025-10-16 01:29:39,"8,252,482,087","22,587","10,643","11,944","104,497,192","49,239,567","55,257,627"
2025-10-17 01:59:45,"8,252,677,919","30,168","14,216","15,953","104,867,532","49,414,073","55,453,459"
2025-10-17 02:29:33,"8,252,681,890","37,678","17,754","19,925","104,875,042","49,417,612","55,457,430"
2025-10-18 01:05:53,"8,252,862,566","16,598","7,821","8,777","105,216,720","49,578,611","55,638,109"
2025-10-19 01:29:45,"8,253,057,571","22,610","10,654","11,957","105,585,492","49,752,379","55,833,113"
2025-10-19 02:29:30,"8,253,065,539","37,663","17,747","19,916","105,600,545","49,759,472","55,841,073"
2025-10-21 17:43:30,"8,253,570,940","267,916","126,243","141,673","106,556,315","50,209,835","56,346,480"
2025-10-21 18:29:30,"8,253,577,066","279,504","131,704","147,800","106,567,903","50,215,296","56,352,607"
2025-10-21 19:29:29,"8,253,585,059","294,614","138,824","155,791","106,583,014","50,222,416","56,360,599"
2025-10-21 20:29:31,"8,253,593,054","309,738","145,950","163,789","106,598,138","50,229,542","56,368,596"
2025-10-22 01:35:33,"8,253,633,820","24,071","11,343","12,729","106,675,230","50,265,868","56,409,362"
2025-10-22 15:46:59,"8,253,747,252","238,564","112,413","126,152","106,889,724","50,366,938","56,522,785"
2025-10-22 18:07:09,"8,253,765,923","273,871","129,050","144,822","106,925,030","50,383,575","56,541,454"
2025-10-22 18:29:32,"8,253,768,902","279,510","131,707","147,803","106,930,669","50,386,232","56,544,436"
2025-10-22 19:29:25,"8,253,776,879","294,596","138,815","155,781","106,945,756","50,393,341","56,552,414"
2025-10-22 21:29:29,"8,253,792,886","324,845","153,069","171,776","106,976,003","50,407,594","56,568,409"
2025-10-23 00:01:27,"8,253,813,117",366,173,194,"107,014,284","50,425,632","56,588,653"
2025-10-23 00:29:33,"8,253,816,861","7,447","3,509","3,938","107,021,364","50,428,968","56,592,396"
2025-10-24 00:02:30,"8,254,005,081",633,298,335,"107,377,309","50,596,691","56,780,618"
2025-10-24 00:29:33,"8,254,008,687","7,447","3,509","3,938","107,384,124","50,599,903","56,784,222"
2025-10-24 01:29:28,"8,254,016,665","22,539","10,620","11,918","107,399,216","50,607,014","56,792,202"
2025-10-25 11:29:41,"8,254,288,444","173,743","81,869","91,875","107,913,179","50,849,196","57,063,983"
2025-10-25 12:29:30,"8,254,296,413","188,811","88,969","99,843","107,928,247","50,856,296","57,071,951"
2025-10-25 13:29:35,"8,254,304,422","203,951","96,103","107,848","107,943,386","50,863,430","57,079,956"
2025-10-25 21:39:00,"8,254,369,618","327,240","154,197","173,043","108,066,676","50,921,524","57,145,151"
2025-10-25 22:29:31,"8,254,376,349","339,967","160,194","179,773","108,079,402","50,927,521","57,151,881"
2025-10-26 14:29:38,"8,254,504,244","219,075","103,229","115,846","108,321,270","51,041,490","57,279,780"
2025-10-26 18:23:24,"8,254,535,392","277,966","130,979","146,987","108,380,160","51,069,239","57,310,920"
2025-10-26 18:29:25,"8,254,536,187","279,482","131,693","147,789","108,381,677","51,069,954","57,311,722"
2025-10-26 19:29:30,"8,254,544,189","294,618","138,825","155,793","108,396,812","51,077,085","57,319,726"
2025-10-26 21:29:32,"8,254,560,190","324,856","153,074","171,782","108,427,050","51,091,334","57,335,716"
2025-10-27 01:38:06,"8,254,593,291","24,715","11,646","13,069","108,489,668","51,120,840","57,368,828"
2025-10-27 15:48:29,"8,254,706,572","238,940","112,590","126,351","108,703,894","51,221,784","57,482,110"
2025-10-27 16:29:29,"8,254,712,035","249,270","117,457","131,813","108,714,223","51,226,651","57,487,572"
2025-10-27 23:56:28,"8,254,771,581","361,873","170,516","191,357","108,826,826","51,279,711","57,547,116"
2025-10-28 00:29:31,"8,254,775,981","7,438","3,505","3,934","108,835,151","51,283,634","57,551,518"
2025-10-28 11:36:28,"8,254,864,825","175,452","82,674","92,778","109,003,164","51,362,802","57,640,362"
2025-10-28 15:21:57,"8,254,894,861","232,256","109,440","122,817","109,059,969","51,389,569","57,670,400"
2025-10-28 16:29:33,"8,254,903,869","249,285","117,464","131,821","109,076,998","51,397,593","57,679,406"
2025-10-29 00:48:55,"8,254,970,389","12,327","5,808","6,518","109,202,798","51,456,871","57,745,928"
2025-10-29 01:29:32,"8,254,975,798","22,556","10,629","11,928","109,213,028","51,461,691","57,751,337"
2025-10-29 23:23:47,"8,255,150,872","353,639","166,636","187,003","109,544,110","51,617,698","57,926,412"
2025-10-29 23:29:30,"8,255,151,634","355,079","167,315","187,765","109,545,551","51,618,377","57,927,174"
2025-10-30 01:29:36,"8,255,167,632","22,573","10,636","11,936","109,575,803","51,632,633","57,943,172"
2025-10-31 08:29:37,"8,255,415,412","128,381","60,494","67,888","110,044,371","51,853,423","58,190,948"
2025-10-31 22:50:54,"8,255,530,204","345,353","162,732","182,622","110,261,343","51,955,661","58,305,682"
2025-10-31 23:29:28,"8,255,535,284","355,071","167,311","187,760","110,271,060","51,960,240","58,310,820"
2025-11-01 01:29:30,"8,255,551,271","22,547","10,624","11,923","110,301,295","51,974,487","58,326,808"
2025-11-03 01:29:37,"8,255,934,941","22,578","10,639","11,940","111,026,845","52,316,371","58,710,476"
2025-11-03 12:16:31,"8,256,021,114","185,544","87,429","98,115","111,189,810","52,393,160","58,796,651"
2025-11-03 12:29:24,"8,256,022,828","188,786","88,957","99,829","111,193,052","52,394,688","58,798,366"
2025-11-03 13:30:03,"8,256,030,910","204,069","96,158","107,911","111,208,335","52,401,889","58,806,447"
